name,region,lat,lon,tags
간절곶소망우체통,울산광역시,35.3588057199,129.3611487843,"관광,문화"
간현관광지,강원특별자치도,37.3646293574,127.8340575195,"관광,문화"
갈거계곡,전북특별자치도,35.9085419668,127.4377085322,"관광,자연"
갈계숲,경상남도,35.7789272818,127.8160256582,"관광,자연"
갈기산,충청북도,36.112113826,127.6280083624,"관광,자연"
갈남항,강원특별자치도,37.2807757781,129.3251150597,"관광,자연"
갈두마을(땅끝마을),전라남도,34.2998052878,126.5285847288,"관광,문화"
갈두천권역마을,충청남도,36.7988972173,126.2574770059,"관광,문화"
갈론계곡,충청북도,36.7344745015,127.8531905026,"관광,자연"
갈마공원,대전광역시,36.3571340745,127.3721884377,"관광,문화"
갈마못(갈뫼못),제주특별자치도,33.3873529469,126.8116979172,"관광,자연"
갈매구릉산자락길,경기도,37.6280830442,127.1238754676,"관광,문화"
갈매중앙공원,경기도,37.6311631455,127.1185814171,"관광,문화"
갈멜정원,전라남도,34.7020883495,127.0538844612,"관광,자연"
갈모봉 산림욕장,경상남도,34.9718346636,128.2676407226,"관광,자연"
갈산공원,서울특별시,37.5061176314,126.8684105358,"관광,문화"
갈산공원,경기도,37.4836871538,127.4973262186,"관광,자연"
갈음이해수욕장,충청남도,36.6957489937,126.1520087212,"관광,자연"
갈천서원,경상남도,35.0480785952,128.2510123914,"관광,문화"
갈천약수터,강원특별자치도,37.9058931889,128.5029086488,"관광,자연"
갈현체육공원,인천광역시,37.5777207077,126.7285768374,"관광,문화"
감낭오름,제주특별자치도,33.3250274801,126.3497088457,"관광,자연"
감로암(서울),서울특별시,37.5753815016,127.0066515383,"관광,문화"
감못(부지),경상북도,35.835102108,128.7670624312,"관광,문화"
감사공묘역,제주특별자치도,33.5129949735,126.6611469938,"관광,문화"
감삼못공원,대구광역시,35.8586426972,128.5522334637,"관광,문화"
감성공작소,강원특별자치도,37.4423790237,129.1631079016,"관광,문화"
감수굴 밭담길,제주특별자치도,33.5310570194,126.8432807691,"관광,문화"
감악산 출렁다리,경기도,37.9390158074,126.9446579202,"관광,문화"
감악산(거창),경상남도,35.5964221995,127.9295566252,"관광,자연"
