name,region,address_full,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities
투나잇호텔[한국관광 품질인증/Korea Quality],전주시,전북특별자치도,35.8306184318,127.1734590924,2651536,,"관광,숙박",,,,,
풍남헌,전주시,전북특별자치도,35.816783528,127.1523141141,1882853,,"관광,숙박",,,,,
하늘정원 게스트하우스(하늘정원게스트하우스),전주시,전북특별자치도,35.8132755302,127.1486700857,2571913,,"관광,숙박",,,,,
학인당,전주시,전북특별자치도,35.8120729467,127.1520142641,1882371,,"관광,숙박",,,,,
한옥미담(전주한옥마을 한옥미담),전주시,전북특별자치도,35.819324875,127.1505919787,2570532,,"관광,숙박",,,,,
한옥스테이 까치[한국관광 품질인증/Korea Quality],전주시,전북특별자치도,35.8133061486,127.1524864117,2950934,,"관광,숙박",,,,,
한옥혜윰[한국관광 품질인증/Korea Quality],전주시,전북특별자치도,35.8115618945,127.1520281651,2651450,,"관광,숙박",,,,,
호텔 모악산,전주시,전북특별자치도,35.7303176048,127.1087757978,496393,,"관광,숙박",,,,,
호텔원[한국관광 품질인증/Korea Quality],전주시,전북특별자치도,35.8370018107,127.057733117,2950410,,"관광,숙박",,,,,
홍시(전주한옥마을 숙박 홍시),전주시,전북특별자치도,35.8153059305,127.1530140906,2576546,,"관광,숙박",,,,,
휴(휴펜션),전주시,전북특별자치도,35.8114980164,127.1522253715,2572759,,"관광,숙박",,,,,
(사) 전주한옥숙박체험업협회,전주시,전북특별자치도,35.8170252131,127.1549777597,2679054,,"관광,숙박",,,,,
가락청,전주시,전북특별자치도,35.8173223769,127.1535667664,2671267,,"관광,숙박",,,,,
강령전,전주시,전북특별자치도,35.8150087222,127.1519253061,2570638,,"관광,숙박",,,,,
객리당,전주시,전북특별자치도,35.82330753,127.1375902537,3102050,,"관광,숙박",,,,,
건축의 선율,전주시,전북특별자치도,35.8162280555,127.1534612486,3438584,,"관광,숙박",,,,,
경기전 연가,전주시,전북특별자치도,35.8174361942,127.1501865087,2609894,,"관광,숙박",,,,,
교동94,전주시,전북특별자치도,35.8126867751,127.1525030935,3438581,,"관광,숙박",,,,,
교동가온,전주시,전북특별자치도,35.8134672507,127.1530502464,2049706,,"관광,숙박",,,,,
교동살래,전주시,전북특별자치도,35.8112952811,127.1533697191,2531374,,"관광,숙박",,,,,
교동외갓집,전주시,전북특별자치도,35.8124340633,127.1546501311,2629550,,"관광,숙박",,,,,
그 여자네 집,전주시,전북특별자치도,35.8121729895,127.1551250954,2623572,,"관광,숙박",,,,,
길건너한옥마을,전주시,전북특별자치도,35.8206192224,127.1534694665,2623938,,"관광,숙박",,,,,
꽃잠,전주시,전북특별자치도,35.8187833092,127.1528612352,2621722,,"관광,숙박",,,,,
꿈,전주시,전북특별자치도,35.8125840398,127.1543251561,2607787,,"관광,숙박",,,,,
나들방,전주시,전북특별자치도,35.8160391529,127.151436434,3438674,,"관광,숙박",,,,,
나루 한옥스테이 독채,전주시,전북특별자치도,35.8114036207,127.1544168455,3438578,,"관광,숙박",,,,,
늘봄스테이,전주시,전북특별자치도,35.8132894782,127.1521808839,1883085,,"관광,숙박",,,,,
다락,전주시,전북특별자치도,35.8169084893,127.1509531207,2607765,,"관광,숙박",,,,,
다래헌,전주시,전북특별자치도,35.8156225594,127.1529196463,2609838,,"관광,숙박",,,,,
단경,전주시,전북특별자치도,35.8158697723,127.1540139865,2593270,,"관광,숙박",,,,,
대동고택,전주시,전북특별자치도,35.8215743723,127.1363487431,3469822,,"관광,숙박",,,,,
더 정가,전주시,전북특별자치도,35.8161058731,127.1549916712,3438051,,"관광,숙박",,,,,
더 한옥,전주시,전북특별자치도,35.8136866592,127.152403076,2531409,,"관광,숙박",,,,,
더클래식호텔,전주시,전북특별자치도,35.8375211961,127.0577331035,3079888,,"관광,숙박",,,,,
독채 와이에스,전주시,전북특별자치도,35.8168280663,127.158016383,3438716,,"관광,숙박",,,,,
독채 전주 수,전주시,전북특별자치도,35.8153836777,127.1517808649,3438704,,"관광,숙박",,,,,
똘랑(똘랑코티지),전주시,전북특별자치도,35.8099121569,127.1563472685,2569656,,"관광,숙박",,,,,
라담[한국관광 품질인증/Korea Quality],전주시,전북특별자치도,35.8125868028,127.1534557892,2950198,,"관광,숙박",,,,,
마당예쁜집(전주한옥마을 마당예쁜집),전주시,전북특별자치도,35.8122840667,127.1538779813,2609850,,"관광,숙박",,,,,
명문가,전주시,전북특별자치도,35.8132006219,127.1534696606,2697379,,"관광,숙박",,,,,
모꼬지,전주시,전북특별자치도,35.8118952624,127.1562277827,2699607,,"관광,숙박",,,,,
무와섬,전주시,전북특별자치도,35.8120340454,127.1510365742,3101966,,"관광,숙박",,,,,
백년한옥,전주시,전북특별자치도,35.8159531185,127.1553138687,2587036,,"관광,숙박",,,,,
별빛쉼터,전주시,전북특별자치도,35.8113591386,127.151953177,3102092,,"관광,숙박",,,,,
보리수 자수 숙박,전주시,전북특별자치도,35.8116757941,127.153394707,2611472,,"관광,숙박",,,,,
블루원 모텔,전주시,전북특별자치도,35.8355227038,127.1316710167,1635552,,"관광,숙박",,,,,
색동저고리,전주시,전북특별자치도,35.8114924891,127.1538252293,3102214,,"관광,숙박",,,,,
성심,전주시,전북특별자치도,35.8172084728,127.1519363587,3102213,,"관광,숙박",,,,,
스테이 한울,전주시,전북특별자치도,35.8126478872,127.1523586628,3438579,,"관광,숙박",,,,,
시간무늬펜션,전주시,전북특별자치도,35.8084233783,127.1529531646,3101926,,"관광,숙박",,,,,
알콩달콩 다락방,전주시,전북특별자치도,35.8126006595,127.1517059442,2623939,,"관광,숙박",,,,,
어울림,전주시,전북특별자치도,35.8133811543,127.1532946716,2621825,,"관광,숙박",,,,,
에이치에비뉴호텔,전주시,전북특별자치도,35.8371148577,127.1701536608,3044614,,"관광,숙박",,,,,
여가,전주시,전북특별자치도,35.8155642403,127.1534029381,3438582,,"관광,숙박",,,,,
여유,전주시,전북특별자치도,35.8124202435,127.1585858919,3438583,,"관광,숙박",,,,,
연당 . 선물 같은 하루,전주시,전북특별자치도,35.8170057072,127.1513058647,3474182,,"관광,숙박",,,,,
예원당(한옥체험 예원당),전주시,전북특별자치도,35.8173945762,127.1527418376,2610549,,"관광,숙박",,,,,
완산골게스트하우스,전주시,전북특별자치도,35.81117295,127.1462703547,3102125,,"관광,숙박",,,,,
이가한옥,전주시,전북특별자치도,35.8166474889,127.1555971588,2613318,,"관광,숙박",,,,,
이화고택,전주시,전북특별자치도,35.8162836132,127.153994533,2708322,,"관광,숙박",,,,,
인센스,전주시,전북특별자치도,35.8197943121,127.1532278427,3438580,,"관광,숙박",,,,,
일상이상,전주시,전북특별자치도,35.8246076717,127.1542859563,3438575,,"관광,숙박",,,,,
자단,전주시,전북특별자치도,35.8237410863,127.1532888454,3438573,,"관광,숙박",,,,,
자하연,전주시,전북특별자치도,35.8122146499,127.1550112156,3102211,,"관광,숙박",,,,,
전주 관광호텔 꽃심,전주시,전북특별자치도,35.8178055382,127.1467923563,3510267,,"관광,숙박",,,,,
전주 아리울모텔,전주시,전북특별자치도,35.8338756866,127.1326904135,2040229,,"관광,숙박",,,,,
전주 카누호텔,전주시,전북특별자치도,35.8378397622,127.1694037089,2666854,,"관광,숙박",,,,,
전주 한옥마을 덕수궁,전주시,전북특별자치도,35.8166641567,127.1557499224,2736325,,"관광,숙박",,,,,
전주 한옥마을 덕수궁 별관,전주시,전북특별자치도,35.8157253606,127.1549639058,3438691,,"관광,숙박",,,,,
전주 한옥마을 중심 독채,전주시,전북특별자치도,35.8152531363,127.1517586481,3438722,,"관광,숙박",,,,,
전주 한옥숙박 체험관,전주시,전북특별자치도,35.815022615,127.1521919487,2610985,,"관광,숙박",,,,,
전주 한옥숙박체험관,전주시,전북특별자치도,35.8150142818,127.152186394,2531417,,"관광,숙박",,,,,
전주게스트하우스 고사동,전주시,전북특별자치도,35.8215161374,127.1416454953,2635946,,"관광,숙박",,,,,
전주하숙,전주시,전북특별자치도,35.8139114999,127.144673203,3101967,,"관광,숙박",,,,,
전주한옥고희,전주시,전북특별자치도,35.8126448613,127.1380071621,2621378,,"관광,숙박",,,,,
전주한옥마을 독채덕수궁,전주시,전북특별자치도,35.8167918485,127.1516475064,3438736,,"관광,숙박",,,,,
전주한옥마을독채 하루정원,전주시,전북특별자치도,35.8135033485,127.1525030721,3474158,,"관광,숙박",,,,,
전주한옥숙박 사랑루,전주시,전북특별자치도,35.8114897163,127.1540974273,2613676,,"관광,숙박",,,,,
청연,전주시,전북특별자치도,35.8112424897,127.1522170454,3438577,,"관광,숙박",,,,,
취락당,전주시,전북특별자치도,35.8186583221,127.1527362499,2608508,,"관광,숙박",,,,,
테오리아,전주시,전북특별자치도,35.8185305288,127.151050292,3438576,,"관광,숙박",,,,,
토박이숙박,전주시,전북특별자치도,35.813664435,127.1521753192,2696528,,"관광,숙박",,,,,
풍류가옥,전주시,전북특별자치도,35.8246882363,127.155321973,3438574,,"관광,숙박",,,,,
하늘풍경,전주시,전북특별자치도,35.8125312349,127.1523919964,2628953,,"관광,숙박",,,,,
한옥 어사화[한국관광 품질인증/Korea Quality],전주시,전북특별자치도,35.8155670253,127.1538056796,2950202,,"관광,숙박",,,,,
한옥고택 고을,전주시,전북특별자치도,35.816255798,127.151633633,3102209,,"관광,숙박",,,,,
한옥마을숙박 가인당,전주시,전북특별자치도,35.812322916,127.1518614933,3102212,,"관광,숙박",,,,,
한옥스테이 오늘,전주시,전북특별자치도,35.8125091181,127.158352578,3102083,,"관광,숙박",,,,,
한옥이야기,전주시,전북특별자치도,35.8123173907,127.1535724525,2046299,,"관광,숙박",,,,,
햇살가득,전주시,전북특별자치도,35.8122924222,127.1552278612,3474156,,"관광,숙박",,,,,
향교길선우가,전주시,전북특별자치도,35.8128146371,127.1582109154,3101963,,"관광,숙박",,,,,
휴,전주시,전북특별자치도,35.8115480104,127.1522364803,2621320,,"관광,숙박",,,,,
흥부가(家),전주시,전북특별자치도,35.8151642613,127.1519697428,2609878,,"관광,숙박",,,,,
1928 쉼마루,전주시,전북특별자치도,35.8118590916,127.1525364452,2568571,,"관광,숙박",,,,,
XO모텔,전주시,전북특별자치도,35.8351949536,127.1311155193,1634785,,"관광,숙박",,,,,
