name,region,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging,detailed_keywords,keywords
가빈,경상남도,34.931527162,128.0595988457,1953998,,"관광,음식점",,,,,,,[],
가빈정,경기도,37.2249844679,127.0746635561,2917485,,"관광,음식점",,,,,,,[],
가산물갈비&백년불고기,서울특별시,37.4773045854,126.8837682791,2836567,,"관광,음식점",,,,,,,[],
가선식당,충청북도,36.124947995,127.6011326297,686404,,"관광,음식점",,,,,,,[],
가시머리식당,강원특별자치도,37.6849678755,128.7438214416,2795029,,"관광,음식점",,,,,,,[],
가시식당,제주특별자치도,33.3531116357,126.7714466301,1866904,,"관광,음식점",,,,,,,[],
가시아방국수,제주특별자치도,33.4386517763,126.9180903016,2791481,,"관광,음식점",,,,,,,[],
가시어멍김밥,제주특별자치도,33.4888641378,126.4763302701,2837181,,"관광,음식점",,,,,,,[],
가야마루,경상남도,35.2334474072,128.9044142549,2847797,,"관광,음식점",,,,,,,[],
가야밀냉면해물칼국수,서울특별시,37.6555794652,126.948537895,2873184,,"관광,음식점",,,,,,,[],
가야밀면,경기도,37.4208694508,126.8826310761,2846903,,"관광,음식점",,,,,,,[],
가야밀면돼지국밥 일산본점,경기도,37.6708852204,126.748641831,2891928,,"관광,음식점",,,,,,,[],
가야성,서울특별시,37.5665544247,126.9885339952,2685273,,"관광,음식점",,,,,,,[],
가야성,대구광역시,35.831498531,128.5513315187,2737976,,"관광,음식점",,,,,,,[],
가야정,경기도,37.1073534536,127.220323101,2736701,,"관광,음식점",,,,,,,[],
가양칼국수버섯매운탕,서울특별시,37.5209253677,126.9313127207,2850213,,"관광,음식점",,,,,,,[],
가연,충청북도,36.9792195516,128.3533442569,2741103,,"관광,음식점",,,,,,,[],
가연식당,인천광역시,37.4821771367,126.6209365514,2835371,,"관광,음식점",,,,,,,[],
가오리와 방패연,경기도,37.2562951524,127.0981133313,2739440,,"관광,음식점",,,,,,,[],
가온길,경기도,37.304833963,126.9418761544,2852072,,"관광,음식점",,,,,,,[],
가온전복,전라남도,34.4151836831,126.3357906111,2904704,,"관광,음식점",,,,,,,[],
가온칼국수 송도본점,인천광역시,37.3825144152,126.660677356,2900016,,"관광,음식점",,,,,,,[],
가우도친구집,전라남도,34.5325972175,126.7789321912,2823338,,"관광,음식점",,,,,,,[],
가운데집,전북특별자치도,35.8514760845,127.1109168914,404116,,"관광,음식점",,,,,,,[],
가원,경기도,37.2512311585,127.0595030864,2844697,,"관광,음식점",,,,,,,[],
가원식당,대구광역시,35.9906776367,128.6968281408,2846092,,"관광,음식점",,,,,,,[],
가월돈까스,경상남도,35.3050212761,128.6747462471,2838595,,"관광,음식점",,,,,,,[],
가월리손두부,경기도,37.9772303573,126.9207117917,2875310,,"관광,음식점",,,,,,,[],
가음당 본점,경상남도,35.3189095973,129.0310008728,2910497,,"관광,음식점",,,,,,,[],
가정식당,서울특별시,37.5213607729,126.8946521602,2685375,,"관광,음식점",,,,,,,[],
