name,region,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities,detailed_keywords,keywords
게스트하우스여정,전북특별자치도,35.9889673773,126.7088936401,2575689,,"관광,숙박",,,,,,[],
결성향교,충청남도,36.5287943496,126.5432499636,2570229,,"관광,숙박",,,,,,[],
경원BIZ모텔,울산광역시,35.5151783876,129.4317771276,1144607,,"관광,숙박",,,,,,[],
경원재 바이 워커힐,인천광역시,37.3923573144,126.6378263887,2475088,,"관광,숙박",,,,,,[],
경주 감포한옥펜션,경상북도,35.8153264806,129.5008736523,2570570,,"관광,숙박",,,,,,[],
경주 소울메이트,경상북도,35.8407151896,129.2031545416,3049913,,"관광,숙박",,,,,,[],
경주 아드리아 펜션,경상북도,35.8331896597,129.2771371628,1991611,,"관광,숙박",,,,,,[],
경주 파인데이 게스트하우스,경상북도,35.837315891,129.2199864967,2570737,,"관광,숙박",,,,,,[],
경주 포시즌 게스트하우스,경상북도,35.7824101947,129.3256565861,397640,,"관광,숙박",,,,,,[],
경주수호정,경상북도,35.8368574416,129.2110983992,2446529,,"관광,숙박",,,,,,[],
경주스위트호텔,경상북도,35.8538484443,129.2774337692,970463,,"관광,숙박",,,,,,[],
경주애견펜션 노비오스,경상북도,35.7821186485,129.3302728568,912647,,"관광,숙박",,,,,,[],
경주오릉한옥,경상북도,35.8258280631,129.2074990288,2706608,,"관광,숙박",,,,,,[],
경주천년한옥펜션,경상북도,35.7741216208,129.2929124645,2047199,,"관광,숙박",,,,,,[],
경주한옥1번가,경상북도,35.8257226259,129.2131318712,2531357,,"관광,숙박",,,,,,[],
경주황룡유스호스텔,경상북도,35.7846821981,129.3276257935,139204,,"관광,숙박",,,,,,[],
경주휴원,경상북도,35.8271220352,129.1902060635,1972448,,"관광,숙박",,,,,,[],
경포도도애견펜션,강원특별자치도,37.8081785994,128.8856798604,2913606,,"관광,숙박",,,,,,[],
경포우성펜션,강원특별자치도,37.8015407965,128.9019563769,973640,,"관광,숙박",,,,,,[],
계곡과소나무 펜션,경기도,37.9524357148,127.3606916905,2738740,,"관광,숙박",,,,,,[],
계곡의아침,경기도,37.9228495542,127.1696127979,946313,,"관광,숙박",,,,,,[],
계룡산작은쉼터,충청남도,36.3702038686,127.1622096615,397793,,"관광,숙박",,,,,,[],
계방산자연농원,강원특별자치도,37.6677119454,128.4762516515,2760291,,"관광,숙박",,,,,,[],
계절이 지나가는 하늘,강원특별자치도,37.5771709059,128.3968893211,2760209,,"관광,숙박",,,,,,[],
고다리조트,강원특별자치도,38.1998081745,127.2827665343,2907711,,"관광,숙박",,,,,,[],
고려호텔,경기도,37.5054905901,126.7495491678,143138,,"관광,숙박",,,,,,[],
고려호텔,경상북도,36.5644908297,128.7327530324,3044522,,"관광,숙박",,,,,,[],
고북밸리,경기도,37.590298653,127.5865233716,912101,,"관광,숙박",,,,,,[],
고성 최필간고택,경상남도,34.9505829528,128.1936699642,1990092,,"관광,숙박",,,,,,[],
고성이씨 탑동종택,경상북도,36.569298832,128.7442796474,2597551,,"관광,숙박",,,,,,[],
고양국제청소년문화센터 유스센터,경기도,37.6754854695,126.7926626777,2818337,,"관광,숙박",,,,,,[],
고운[한국관광 품질인증/Korea Quality],서울특별시,37.5830052419,126.9858393299,2950469,,"관광,숙박",,,,,,[],
고유[한국관광 품질인증/Korea Quality],전북특별자치도,35.8121035044,127.1523281243,2651962,,"관광,숙박",,,,,,[],
고유한관광농원펜션,전라남도,34.6845607383,127.2762320498,2814167,,"관광,숙박",,,,,,[],
고창 선운산 유스호스텔,전북특별자치도,35.5034316425,126.5831950164,137499,,"관광,숙박",,,,,,[],
고창읍성한옥마을,전북특별자치도,35.4324750976,126.7061747553,2049790,,"관광,숙박",,,,,,[],
고추잠자리,인천광역시,37.4704965856,126.7016156268,1204528,,"관광,숙박",,,,,,[],
고택 한옥에서,전라남도,35.2376996952,127.0206073559,1991992,,"관광,숙박",,,,,,[],
고현당,전북특별자치도,35.8152920547,127.1537251387,2572898,,"관광,숙박",,,,,,[],
