id,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,객주문학관,경상북도 청송군 진보면 청송로 6359,,36.523462439,129.0398047825,1927047,"문화시설,인문",,[]
,갤러리 M,서울특별시 종로구 삼일대로 445,,37.5742729433,126.9869450321,745873,"문화시설,인문",,[]
,갤러리 MOA,경기도 파주시 탄현면 헤이리마을길 48-37,,37.7877540724,126.7002790678,2654476,"문화시설,인문",,[]
,갤러리 S.P,서울특별시 용산구 회나무로44가길 30,,37.5383633594,126.9943120449,130573,"문화시설,인문",,[]
,갤러리 구루지,서울특별시 구로구 가마산로25길 21,,37.4970135079,126.8894255436,2591878,"문화시설,인문",,[]
,갤러리 나우,서울특별시 강남구 언주로152길 16,,37.5228103408,127.0349865585,130840,"문화시설,인문",,[]
,갤러리 더 화,경기도 이천시 신둔면 도자예술로99번길 41,,37.2916490012,127.3844974951,2713397,"문화시설,인문",,[]
,갤러리 라메르,서울특별시 종로구 인사동5길 26 (관훈동),,37.5726342077,126.9848841554,130577,"문화시설,인문",,[]
,갤러리 마노,서울특별시 강남구 압구정로46길 71,,37.5240907763,127.0365891542,130581,"문화시설,인문",,[]
,갤러리 미즈,서울특별시 종로구 삼일대로 461 (경운동),,37.5756088859,126.986217283,130568,"문화시설,인문",,[]
,갤러리 비앤에스,서울특별시 종로구 자하문로 273 (부암동),,37.5980502858,126.9619494147,129846,"문화시설,인문",,[]
,갤러리 서림,서울특별시 강남구 학동로 523,,37.5201388076,127.0560652706,129927,"문화시설,인문",,[]
,갤러리 스클로,서울특별시 중구 다산로16길 29,,37.556247736,127.0134459064,130571,"문화시설,인문",,[]
,갤러리 시몬,서울특별시 종로구 자하문로6길 20,,37.5780694778,126.9732156208,130190,"문화시설,인문",,[]
,갤러리 아트사이드,서울특별시 종로구 자하문로6길 15 갤러리 아트싸이드,,37.5783222216,126.9729600813,130617,"문화시설,인문",,[]
,갤러리 우림,서울특별시 종로구 인사동10길 18,,37.5742229305,126.9859145721,129902,"문화시설,인문",,[]
,갤러리 원,서울특별시 강남구 압구정로71길 14,,37.5275211007,127.0458882102,130583,"문화시설,인문",,[]
,갤러리 위,경기도 용인시 수지구 고기동,,37.35216408,127.0688716267,3012455,"문화시설,인문",,[]
