name,region,address_full,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities
금마관,익산시,전북특별자치도,35.9963447951,127.059295472,2574164,,"관광,숙박",,,,,
도담 누마루 한옥,익산시,전북특별자치도,35.9929366888,127.0500186119,3102091,,"관광,숙박",,,,,
미륵산자연학교,익산시,전북특별자치도,36.0322899906,127.0187537023,1853192,,"관광,숙박",,,,,
웨스턴라이프호텔,익산시,전북특별자치도,35.950387481,126.9760013325,2564295,,"관광,숙박",,,,,
익산유스호스텔,익산시,전북특별자치도,35.9658466444,126.9653018835,1883594,,"관광,숙박",,,,,
한옥펜션 수수헌,익산시,전북특별자치도,35.9923950883,127.0502547162,3101954,,"관광,숙박",,,,,
함라한옥체험단지,익산시,전북특별자치도,36.0627735156,126.9098737429,3102203,,"관광,숙박",,,,,
