name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
송우암수명유허비,정읍시,전북특별자치도,35.5664430088,126.856944073,1627388,,문화·역사
영광정,정읍시,전북특별자치도,35.4860818889,126.9733552303,1611841,,문화·역사;힐링·여유
용굴,정읍시,전북특별자치도,35.486827567,126.8877683635,1627404,산,힐링·여유;사진 스팟
용산저수지,정읍시,전북특별자치도,35.5097133098,126.8554206536,1627447,강·호수,힐링·여유;야외활동
유럽마을 엥겔베르그,정읍시,전북특별자치도,35.5820741425,126.8320097801,3410581,,체험형;사진 스팟
정읍 구절초 지방정원,정읍시,전북특별자치도,35.5509502957,127.0179412789,1626156,숲,힐링·여유;사진 스팟
정읍 쌍화차거리,정읍시,전북특별자치도,35.5673234605,126.8567468461,2047242,,먹거리 탐방;체험형
정읍 전봉준 유적,정읍시,전북특별자치도,35.6709581902,126.8145340639,129514,,문화·역사
정읍 황토현 전적,정읍시,전북특별자치도,35.6336543552,126.8296614492,126380,,문화·역사;체험형
칠보산,정읍시,전북특별자치도,35.5711634428,126.9463276762,1627635,산,힐링·여유;야외활동;사진 스팟
구파백정기의사기념관,정읍시,전북특별자치도 정읍시 영원면 영원로 1049,,,252657,,문화·역사
국립전북기상과학관,정읍시,전북특별자치도 정읍시 서부산업도로 168-43 (상평동),,,2655877,,체험형;문화·역사
내장산 탐방안내소,정읍시,전북특별자치도 정읍시 내장산로 1207,,,130234,산,체험형;야외활동
동학농민혁명기념관,정읍시,전북특별자치도 정읍시 덕천면 동학로 742,,,775041,,문화·역사;체험형
명봉도서관,정읍시,전북특별자치도 정읍시 태인면 태인로 33-9,,,1941168,,체험형
연지아트홀,정읍시,전북특별자치도 정읍시 중앙로 73 (연지동),,,3066651,,문화·역사;체험형
정읍문화원,정읍시,전북특별자치도 정읍시 조곡천1길 1,,,129976,,문화·역사;체험형
정읍사국악원,정읍시,전북특별자치도 정읍시 시기4길 23 (시기동),,,130043,,문화·역사;체험형
정읍사예술회관,정읍시,전북특별자치도 정읍시 시기4길 13,,,130042,,문화·역사;체험형
정읍시립미술관,정읍시,전북특별자치도 정읍시 시기4길 7,,,2742247,,문화·역사;체험형
정읍사문화제,정읍시,전북특별자치도 정읍시 정읍사로 541 (시기동),,,627825,,축제·이벤트;문화·역사
내장산골프앤리조트,정읍시,전북특별자치도 정읍시 첨단과학로 476,,,2778936,산,레저·액티비티;체험형
내장산국민여가캠핑장,정읍시,전북특별자치도 정읍시 내장산로 410 (부전동),,,2728542,산,체험형;야외활동
내장야영장,정읍시,전북특별자치도 정읍시 내장산로 800,,,2728551,산,체험형;야외활동
로하스캠핑장,정읍시,전북특별자치도 정읍시 산내면 산호수길 204-70,,,2727296,산,체험형;야외활동
섬진강캠핑장,정읍시,전북특별자치도 정읍시 산외면 산외로 445-30,,,2741537,강·호수,체험형;야외활동
수청저수지,정읍시,전북특별자치도 정읍시 칠보면 칠보산로,,,131240,강·호수,힐링·여유;야외활동
일곱식구 캠핑장,정읍시,전북특별자치도 정읍시 행단1길 153,,,2908870,,체험형;야외활동
자두마을캠핑,정읍시,전북특별자치도 정읍시 종황길 92,,,2734238,,체험형;야외활동
정화네 불한증막 힐링캠프,정읍시,전북특별자치도 정읍시 고부면 덕신강길 148-4,,,2745650,,체험형;힐링·여유
(유)금강 두승산 글램핑,정읍시,전북특별자치도 정읍시 고부면 영원로 222-15,,,2749553,산,체험형;야외활동
정읍 샘고을시장,정읍시,전북특별자치도 정읍시 태평6길 22-2,,,132307,,먹거리 탐방;체험형
정읍 신태인시장,정읍시,전북특별자치도 정읍시 신태인읍 시장2길 14,,,1334747,,먹거리 탐방;체험형
정읍 연지시장,정읍시,전북특별자치도 정읍시 연지시장3길 43 (연지동),,,522533,,먹거리 탐방;체험형
정읍시 농산물도매시장,정읍시,전북특별자치도 정읍시 황토현로 1213-15,,,522463,,먹거리 탐방;체험형
