Aㅁid,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,거제 옥포대첩 축제,경상남도 거제시 옥포로2길 14 (옥포동),,34.8905347934,128.6966193745,1327778,"축제,인문",,[]
,거제대구수산물축제,경상남도 거제시 장목면 외포리,,34.9411378856,128.7196243564,650951,"축제,인문",,[]
,거제도 국제펭귄수영축제,경상남도 거제시 덕포5길 32,,34.9116687968,128.710700919,667236,"축제,인문",,[]
,거제맥주축제,경상남도 거제시 장승로 138 (장승포동),,34.8663685553,128.7246231385,2614762,"축제,인문",,[]
,거제섬꽃축제,경상남도 거제시 거제면 거제남서로 3577,,34.8569114552,128.5803387153,1732929,"축제,인문",,[]
,거제여름해양축제,경상남도 거제시 일운면 지세포해안로 15-44,,34.8392239436,128.701259224,589170,"축제,인문",,[]
,거창국제연극제,경상남도 거창군 거창읍 수남로 2181,,35.6737770003,127.9108367626,142069,"축제,인문",,[]
,거창한마당대축제,경상남도 거창군 거창읍 양평리,,35.6934029005,127.9301595289,1798646,"축제,인문",,[]
,건군 76주년 국군의 날,서울특별시 용산구 두텁바위로 54-99 (용산동2가),,37.5416099454,126.9798799337,3348515,"축제,인문",,[]
,게임 이스포츠 서울,서울특별시 동대문구 경희대로 26 (회기동),,19.69442748,117.9925662504,3352940,"축제,인문",,[]
,게임 체험 팝업전시 ‘Dive the Game-vers’,부산광역시 해운대구 해운대로 621 (우동),,35.1638460114,129.158710686,3422647,"축제,인문",,[]
,게임문화축제,경기도 용인시 처인구 포곡읍 에버랜드로 199,,37.2893100954,127.2149184795,3360113,"축제,인문",,[]
,"겨울, 청계천의 빛",서울특별시 중구 태평로1가 1,,37.5691317067,126.9776154729,2785797,"축제,인문",,[]
,겨울공주 군밤축제,충청남도 공주시 금벽로 368 (신관동),,36.4702917892,127.1275545162,2531702,"축제,인문",,[]
,겨울엔 양평,경기도 양평군 양평읍 마유산로 11,,37.4967798701,127.4857713336,3049823,"축제,인문",,[]
,겸재문화예술제,서울특별시 강서구 양천로 291 (마곡동),,37.5722343802,126.8366643489,2490376,"축제,인문",,[]
,경기 다독다독 축제,경기도 안성시 보개면 남사당로 198,,37.0336857086,127.3054285825,2508283,"축제,인문",,[]
,"경기도 문화사계 ""여름"" 경기바다 드론쇼",경기도 시흥시 거북섬둘레길 42 (정왕동),,37.3241520972,126.6806993687,3512510,"축제,인문",,[]
,경기도 세계커피콩 축제,경기도 시흥시 은행동,,37.4446570072,126.8067956497,3011169,"축제,인문",,[]
,경기미 김밥페스타,경기도 수원시 영통구 광교중앙로 140 (하동),,37.2858799237,127.0594632301,3486730,"축제,인문",,[]
,경기미디저트페스타,경기도 수원시 권선구 세화로134번길 37 (서둔동),,37.2668587922,126.9971971906,3368470,"축제,인문",,[]
,경기민족예술제,경기도 수원시 권선구 서둔로 166 (서둔동),,37.2665807612,126.9811903187,3370048,"축제,인문",,[]
,경남고성공룡세계엑스포,경상남도 고성군 당항만로 1116,,35.0533471834,128.39153886,141105,"축제,인문",,[]
,경남콘텐츠페어,경상남도 창원시 성산구 원이대로 362 (대원동),,35.2382867979,128.6578550874,3028995,"축제,인문",,[]
,경복궁 별빛야행,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,2648460,"축제,인문",,[]
,경북 K-스토리 페스티벌,경상북도 안동시 영가로 16 (동부동),,36.5646797112,128.7335001826,2867141,"축제,인문",,[]
,경북 WOW(와)보이소,서울특별시 중구 태평로1가,,37.5692566951,126.977768233,3495363,"축제,인문",,[]
,경북영주 풍기인삼축제,경상북도 영주시 풍기읍 성내리,,36.8687187243,128.5216074341,506766,"축제,인문",,[]
,경산대추축제 & 농산물한마당,경상북도 경산시 남매로 100 (상방동),,35.8199172753,128.7434010472,2759249,"축제,인문",,[]
,경산자인단오제,경상북도 경산시 자인면 계정길 68,,35.8178883523,128.8190222342,1642876,"축제,인문",,[]
,경산카페축제,경상북도 경산시 압량읍 압독1로 100-5,,35.8410071265,128.7741060914,3497502,"축제,인문",,[]
,경상북도 국제 AI·메타버스영화제,경상북도 구미시 남통동,,36.1109457941,128.3131225686,3091848,"축제,인문",,[]
,경상북도사과홍보행사,서울특별시 중구 을지로 지하12 (을지로1가),,37.5655015943,126.9787960237,2622167,"축제,인문",,[]
,경주 대릉원돌담길 축제,경상북도 경주시 황남동,,35.8401959957,129.2133231098,2485128,"축제,인문",,[]
,경주문화유산야행,경상북도 경주시 교동,,35.8313803696,129.2157425929,2614760,"축제,인문",,[]
,경춘선 공릉숲길 커피축제,서울특별시 노원구 동일로 지하1074 (공릉동),,37.6255296448,127.0730218414,3114588,"축제,인문",,[]
,계룡軍문화축제,충청남도 계룡시 신도안면 정장리,,36.3068152208,127.2371268803,2992940,"축제,인문",,[]
,계양 문화유산 야행,인천광역시 계양구 계양산로 101 (계산동),,37.548071351,126.7270444752,3377186,"축제,인문",,[]
,계양 빛축제,인천광역시 계양구 경명대로 지하1089 (계산동),,37.5433469173,126.7279723005,3399342,"축제,인문",,[]
,계양아라온워터축제,인천광역시 계양구 아라로 548 (장기동),,37.5746907004,126.7395953613,3329992,"축제,인문",,[]
,계촌 휴休콘서트,강원특별자치도 평창군 방림면 고원로 683,,37.4524029602,128.3014544341,3383902,"축제,인문",,[]
,계촌합창축제,강원특별자치도 평창군 방림면 계촌리,,37.4522418857,128.3023765782,3520743,"축제,인문",,[]
,고니골빛축제,강원특별자치도 원주시 호저면 호저로 1277-43,,37.4800230785,127.9154662381,2517217,"축제,인문",,[]
,고령대가야축제,경상북도 고령군 대가야로 1216 대가야역사테마관광지,,35.7212529077,128.2599602256,2667017,"축제,인문",,[]
,고마로馬문화축제,제주특별자치도 제주시 신산로 82 (일도이동),,33.5066214328,126.5345831362,3327116,"축제,인문",,[]
,고메 잇 강남 서울야장,서울특별시 강남구 영동대로 513 (삼성동),,37.5119175967,127.059217995,3524418,"축제,인문",,[]
