id,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,강서농산물도매시장,서울특별시 강서구 발산로 40,,37.553555714,126.8208190977,2741626,"쇼핑,쇼핑",,[]
,강진오감통시장,전라남도 강진군 강진읍 시장길 17-14,,34.6403183885,126.774177222,132051,"쇼핑,쇼핑",,[]
,강추낚시,경기도 화성시 송산면 화성로 515,,37.2117496095,126.7458826514,2782805,"쇼핑,쇼핑",,[]
,강화 인삼센터,인천광역시 강화군 강화읍 강화대로 335,,37.7421168236,126.4924882782,1177090,"쇼핑,쇼핑",,[]
,강화 중앙시장,인천광역시 강화군 강화읍 강화대로 430,,37.7475993708,126.4841777761,1178052,"쇼핑,쇼핑",,[]
,강화 풍물시장,인천광역시 강화군 강화읍 중앙로 17-9,,37.741425244,126.4928438212,1039977,"쇼핑,쇼핑",,[]
,강화도파머스마켓,인천광역시 강화군 교동면 교동남로 22,,37.7813973948,126.2799011344,3061180,"쇼핑,쇼핑",,[]
,강화명과 금방,인천광역시 강화군 강화읍 고비고개로 8,,37.7478353052,126.4757368768,3462336,"쇼핑,쇼핑",,[]
,강화젓갈,인천광역시 강화군 내가면 해안서로 899-2,,37.7007946382,126.3784665487,1249666,"쇼핑,쇼핑",,[]
,개금골목시장,부산광역시 부산진구 냉정로 227-1,,35.1512116183,129.0248087908,2788455,"쇼핑,쇼핑",,[]
,개봉중앙시장,서울특별시 구로구 개봉로17길 34,,37.4918523671,126.8541039069,2758193,"쇼핑,쇼핑",,[]
,갤러리 가람,경상북도 경주시 하동공예촌길 78,,35.8048434931,129.3107239191,1972411,"쇼핑,쇼핑",,[]
,갤러리아 광교 파사쥬,경기도 수원시 영통구 광교중앙로 124 갤러리아 광교,,37.2853549456,127.0572801105,2843518,"쇼핑,쇼핑",,[]
,갤러리아 진주점,경상남도 진주시 진주대로 1095,,35.1967505581,128.0823426858,2909297,"쇼핑,쇼핑",,[]
,갤러리아명품관,서울특별시 강남구 압구정로 407 (압구정동) 갤러리아백화점,,37.5279681978,127.0418357887,2931725,"쇼핑,쇼핑",,[]
,갤러리아명품관 WEST,서울특별시 강남구 압구정로 343 갤러리아백화점,,37.5285292127,127.0400692668,2911893,"쇼핑,쇼핑",,[]
,갤러리아백화점 명품관,서울특별시 강남구 압구정로 343 (압구정동),,37.5285292127,127.0400692668,273772,"쇼핑,쇼핑",,[]
,갤러리아백화점 센터시티점,충청남도 천안시 서북구 공원로 227,,36.8005478835,127.1047142548,132383,"쇼핑,쇼핑",,[]
,갤러리아백화점 타임월드점,대전광역시 서구 대덕대로 211,,36.3518847832,127.3782574818,132672,"쇼핑,쇼핑",,[]
,갤러리아백화점 타임월드점,대전광역시 서구 대덕대로 211,,36.3520347639,127.3781824843,2911526,"쇼핑,쇼핑",,[]
,갤러리안경 대치,서울특별시 강남구 도곡로 415,,37.4975969789,127.055996471,2927684,"쇼핑,쇼핑",,[]
