name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
돌개마실 캠핑장,부안군,전북특별자치도 부안군 진서면 구룡댐길 65,,,2745728,강·호수,야외활동;체험형
바다야영장,부안군,전북특별자치도 부안군 곰소항길 22-25,,,2908967,바다,야외활동;힐링·여유
변산오토캠핑장,부안군,전북특별자치도 부안군 변산면 변산로 2054,,,2727290,바다,야외활동;레저·액티비티
변산힐링밸리,부안군,전북특별자치도 부안군 진서면 참뽕로 173,,,2761251,산,힐링·여유;야외활동
부안스포츠파크,부안군,전북특별자치도 부안군 행안면 체육공원길 31,,,1610042,,레저·액티비티;야외활동
위도바다낚시,부안군,전북특별자치도 부안군 위도면 진리안길,,,131242,섬;바다,레저·액티비티;체험형
이순신 글램핑,부안군,전북특별자치도 부안군 변산면 궁항로 178,,,2743806,산,야외활동;힐링·여유
줄포만갯벌생태공원 캠핑장,부안군,전북특별자치도 부안군 줄포면 생태공원로 38,,,2747577,바다,체험형;야외활동;힐링·여유
[변산 마실길 1코스] 조개미 패총길,부안군,전북특별자치도 부안군 변산면,,,1014950,바다,야외활동;체험형;힐링·여유
[변산 마실길 2코스] 노루목 상사화길,부안군,전북특별자치도 부안군 변산면,,,1015842,숲,야외활동;사진 스팟;힐링·여유
[변산 마실길 3코스] 적벽강 노을길,부안군,전북특별자치도 부안군 변산면 변산해변로 277,,,1015898,바다,야외활동;사진 스팟;힐링·여유
격포항 수산시장,부안군,전북특별자치도 부안군 변산면 격포중앙길 28-4,,,1979610,바다,먹거리 탐방;체험형
곰소젓갈단지 (구시장),부안군,전북특별자치도 부안군 진서면 곰소항길 22-13,,,132496,바다,먹거리 탐방;체험형
부안상설시장 / 부안장 (4, 9일),부안군,전북특별자치도 부안군 부안읍 부풍로 47,,,132045,,먹거리 탐방;체험형
줄포장 (1, 6일),부안군,전북특별자치도 부안군 줄포면 부안로 865,,,132046,,먹거리 탐방;체험형
채석강수산시장,부안군,전북특별자치도 부안군 변산면 변산해변로 8,,,2743380,바다,먹거리 탐방;체험형
