name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
긴물찻집 & 스테이,장수군,전북특별자치도,35.7273858661,127.4998883703,2910833,,"관광,음식점",,,,,,
빠담빠담,장수군,전북특별자치도,35.6805177602,127.5895816623,2910862,,"관광,음식점",,,,,,
삼봉가든,장수군,전북특별자치도,35.6220895847,127.5061961431,2784724,,"관광,음식점",,,,,,
서울숯불갈비,장수군,전북특별자치도,35.7330228657,127.5866888605,404114,,"관광,음식점",,,,,,
영광분식,장수군,전북특별자치도,35.7359271691,127.5343517557,2910893,,"관광,음식점",,,,,,
장수젊은한우영농조합법인,장수군,전북특별자치도,35.6527140523,127.5153778572,2916454,,"관광,음식점",,,,,,
타짜 장면,장수군,전북특별자치도,35.7285510908,127.5832642828,2842179,,"관광,음식점",,,,,,
토옥동송어횟집,장수군,전북특별자치도,35.8017468652,127.6570002442,2923364,,"관광,음식점",,,,,,
대갓집,장수군,전북특별자치도,35.7314424706,127.5856001103,1607384,,"관광,음식점",,,,,,
