name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
효충서원,임실군,전북특별자치도,35.5946717881,127.2631545057,1590837,,문화·역사
임실김용택시인문학관,임실군,전북특별자치도 임실군 덕치면 장암2길 16,,,2789438,,문화·역사;힐링·여유
필봉농악전수관,임실군,전북특별자치도 임실군 강진면 강운로 272,,,130037,,문화·역사;체험형;축제·이벤트
임실 옥정호 벚꽃축제,임실군,전북특별자치도 임실군 운암면 입석1길 59,,,3482026,강·호수,축제·이벤트;힐링·여유;사진 스팟
임실N치즈축제,임실군,전북특별자치도 임실군 성수면 도인2길 50,,,2031318,,축제·이벤트;먹거리 탐방;체험형
임실N펫스타,임실군,전북특별자치도 임실군 충효로 2096-16 임실군문화체육센터,,,2984556,,축제·이벤트;체험형
강변사리마을캠핑장,임실군,전북특별자치도 임실군 덕치면 강동로 865-20,,,2726718,강·호수,레저·액티비티;야외활동;힐링·여유
방길낚시캠핑장,임실군,전북특별자치도 임실군 신덕면 삼길1길 155-77,,,2741530,강·호수,레저·액티비티;체험형;힐링·여유
섬진강자전거길인증센터,임실군,전북특별자치도 임실군 덕치면 회문3길 2,,,2777970,강·호수,레저·액티비티;야외활동
오봉저수지,임실군,전북특별자치도 임실군 성수면 산성로 522,,,131231,강·호수,힐링·여유;사진 스팟;레저·액티비티
저스트글램핑,임실군,전북특별자치도 임실군 강진면 이윤길 76,,,2767946,산,레저·액티비티;힐링·여유
전북특별자치도종합사격장,임실군,전북특별자치도 임실군 청웅면 청운로 168-46,,,131828,,레저·액티비티;체험형
전주샹그릴라CC,임실군,전북특별자치도 임실군 신덕면 수지로 559-90,,,2778930,산,레저·액티비티;야외활동
하늘구름길캠핑장,임실군,전북특별자치도 임실군 성수면 왕방길 199-4,,,2730046,산,야외활동;힐링·여유
관촌시장 (5, 10일),임실군,전북특별자치도 임실군 관촌면 사선1길 70-3,,,132252,,먹거리 탐방;체험형
오수상설시장,임실군,전북특별자치도 임실군 오수면 오수로 159,,,250546,,먹거리 탐방;체험형
임실장 / 임실시장 (1, 6일),임실군,전북특별자치도 임실군 임실읍 운수로 26,,,132620,,먹거리 탐방;체험형
